inci_no,descript,alm_date,alm_time,station,clr_date,clr_time,alarms,LastUpdateDate,StartDate,EndDate,Elapsed Time (Days),Elapsed Time (Hours),Elapsed Time (Minutes),Elapsed Time (Seconds)
19-0004995,Building fire,2/4/2019,21:16:54,16,2/5/2019,1:28:03,2,05/12/2020 10:51:51,02/04/2019 21:16:54,02/05/2019 1:28:03,0.174,4.186,251.150,15069.000
19-0005011,"Trash or rubbish fire, contained",2/4/2019,23:31:30,7,2/4/2019,23:52:13,1,05/12/2020 10:51:51,02/04/2019 23:31:30,02/04/2019 23:52:13,0.014,0.345,20.717,1243.000
19-0005138,"Cooking fire, confined to container",2/5/2019,18:33:30,27,2/5/2019,18:47:40,1,05/12/2020 10:51:51,02/05/2019 18:33:30,02/05/2019 18:47:40,0.010,0.236,14.167,850.000
19-0005167,Passenger vehicle fire,2/6/2019,1:12:27,14,2/6/2019,2:48:17,1,05/12/2020 10:51:51,02/06/2019 1:12:27,02/06/2019 2:48:17,0.067,1.597,95.833,5750.000
19-0005167,Passenger vehicle fire,2/6/2019,1:12:27,14,2/6/2019,2:48:17,1,05/12/2020 10:51:51,02/06/2019 1:12:27,02/06/2019 2:48:17,0.067,1.597,95.833,5750.000
19-0005193,Building fire,2/6/2019,7:59:19,22,2/6/2019,13:32:10,2,05/12/2020 10:51:51,02/06/2019 7:59:19,02/06/2019 13:32:10,0.231,5.548,332.850,19971.000
19-0005210,"Outside rubbish, trash or waste fire",2/6/2019,10:57:59,21,2/6/2019,11:38:05,1,05/12/2020 10:51:51,02/06/2019 10:57:59,02/06/2019 11:38:05,0.028,0.668,40.100,2406.000
19-0005250,Building fire,2/6/2019,15:43:05,22,2/6/2019,17:12:06,1,05/12/2020 10:51:51,02/06/2019 15:43:05,02/06/2019 17:12:06,0.062,1.484,89.017,5341.000
19-0005270,Passenger vehicle fire,2/6/2019,19:02:43,20,2/6/2019,19:51:31,1,05/12/2020 10:51:51,02/06/2019 19:02:43,02/06/2019 19:51:31,0.034,0.813,48.800,2928.000
19-0005292,"Excessive heat, scorch burns with no ignition",2/6/2019,21:48:11,8,2/6/2019,22:03:50,1,05/12/2020 10:51:51,02/06/2019 21:48:11,02/06/2019 22:03:50,0.011,0.261,15.650,939.000
19-0005313,Building fire,2/7/2019,3:21:00,4,2/7/2019,8:36:30,1,05/12/2020 10:51:51,2/7/2019 3:21,02/07/2019 8:36:30,0.219,5.258,315.500,18930.000
19-0005314,"Cooking fire, confined to container",2/7/2019,4:02:07,16,2/7/2019,4:54:48,1,05/12/2020 10:51:51,02/07/2019 4:02:07,02/07/2019 4:54:48,0.037,0.878,52.683,3161.000
